url,url_length,https,total_links,safe_links,non_safe_links,length,status,tld,sentiment,label
http://zpravy.adult.cz/,23,0,28,0,28,2518,1,cz,0.0,0
http://www.boundshop.de/,24,0,0,0,0,9,1,de,0.0,0
http://dracula-land.sexomultiple.com/cg-amateur/warn/index.html,63,0,0,0,0,101,0,com,0.0,0
http://www.angelfire.com/darkside/ms_sassy/,43,0,2,2,0,591,1,com,0.25,0
http://www.sexystat.com,23,0,6,0,6,686,1,com,0.25,0
http://www.bizarre-sex.ws/,26,0,1,1,0,168,1,ws,0.0,0
http://www.detailstoys.com/,27,0,0,0,0,38,0,com,0.0,0
http://www.desirenet.co.uk/,27,0,8,8,0,6187,1,co.uk,0.20338434505569336,0
http://www.dunedin-direct.co.nz/ddc/listingspersonal.htm,56,0,1,0,1,281,0,co.nz,0.4,0
http://misspelisse.canalblog.com/,33,0,106,15,91,7604,1,com,0.4625,0
http://www.anotheradultboard.com/,33,0,6,1,5,843,1,com,0.35375,0
http://www.jewelmovies.com,26,0,6,6,0,356,1,com,0.6375000000000001,0
http://getfreexxx.com/,22,0,0,0,0,1,1,com,0.0,0
http://groups.yahoo.com/group/rpslash/,38,0,105,104,1,11732,1,com,0.17055624930624935,0
http://www.kokainfabrik.de,26,0,0,0,0,0,1,de,0.0,0
http://lessons-learned-otk.domestic-spanking.com/,49,0,0,0,0,7,1,com,0.0,0
http://www.swingerclub-feelings.de/,35,0,0,0,0,2078,1,de,-0.19047619047619047,0
http://www.sweet18teen.com/insertthis/ca/,41,0,1,0,1,168,1,com,0.0,0
http://www.rooie-oortjes.nl/,28,0,11,11,0,1477,1,nl,0.1308712121212121,0
http://sexy_bike.tripod.com/,28,0,8,0,8,578,0,com,0.8125,0
http://www.sesso-gratis.info,28,0,0,0,0,54,1,info,0.0,0
http://www.castlewaterloo.com/,30,0,2,1,1,157,1,com,0.0,0
http://www.paulcleather.com/,28,0,0,0,0,162,0,com,0.5,0
http://www.chicksites.com/pics/malay/3/,39,0,208,202,6,8229,1,com,0.0484014675052411,0
http://www.planet-pussy.com/,28,0,3,0,3,212,1,com,0.17662337662337665,0
http://www.mellyloon.com/,25,0,3,0,3,409,1,com,0.75,0
http://www.citybutterflies.com/,31,0,84,84,0,6704,1,com,0.371905679066696,0
http://www.katja-minx.com/,26,0,8,2,6,2835,1,com,0.218577936224995,0
http://www.anzwers.net/hot/sexyncontri/,39,0,0,0,0,42,1,net,0.0,0
http://www.xtrasex.com/a/outside/index.htm,42,0,7,0,7,1578,1,com,0.13702380952380952,0
http://www.filmz.nl,19,0,1,1,0,825,0,nl,-0.13714285714285715,0
http://www.ilovecum.com/,24,0,1,1,0,145,1,com,0.175,0
http://www.sexo-gratis.anal-hardcore-sex-pics.com/,50,0,2,0,2,225,1,com,0.4666666666666666,0
http://www.analdreamhouse.com/39/01/agecheck/index.html,55,0,107,87,20,11016,1,com,0.13246977160770268,0
http://www.xxx-ratedsex.com/index.html,38,0,1,0,1,727,1,com,0.05769230769230767,0
http://www.itsmagic-trier.de/,29,0,2,0,2,1583,1,de,0.0,0
http://www.sexpo.com.au/,24,0,139,133,6,6080,1,com.au,0.2064318340972753,0
http://www.a24-7pornsite.com/fisting_frenzy/,44,0,20,0,20,1904,1,com,0.16068840579710142,0
http://www.russianangels.com/,29,0,0,0,0,42,0,com,0.0,0
http://www.explicitzone.com,27,0,1,1,0,145,1,com,0.175,0
http://www.curiosavideo.com/,28,0,77,77,0,11335,1,com,0.09925022281639932,0
http://www.beepworld.de/members23/edu666/,41,0,3,3,0,239,0,de,0.0,0
http://www.slutlounge.com/,26,0,0,0,0,283,1,com,0.3333333333333333,0
http://www.model-f.com/,23,0,0,0,0,10,1,com,0.0,0
http://dvdsource.deluxepass.com/,32,0,65,65,0,2740,1,com,0.2518025330525331,0
http://www.floyd-agency.com,27,0,0,0,0,0,1,com,0.0,0
http://groups.yahoo.com/group/coco_channel/,43,0,105,104,1,11735,1,com,0.1690777998564884,0
http://www.pcrawler.com/,24,0,0,0,0,42,0,com,0.0,0
http://www.tienersexfilms.nl,28,0,0,0,0,1100,1,nl,0.48125,0
http://www.cherryboys.com/armybrat/,35,0,55,55,0,5781,1,com,0.24871111111111113,0
http://www.forthegirls.com/s04/s01/warning.html,47,0,15,0,15,1154,1,com,0.12745098039215685,0
http://www.haremshop.com/,25,0,1,1,0,145,1,com,0.175,0
http://www.girl-nude.com/blondes/arenalin_power_blondes/index.shtml,67,0,0,0,0,10,1,com,0.0,0
http://www.xxxsex.anal-hardcore-sex-pics.com/,45,0,1,0,1,587,1,com,0.335,0
http://www.czechpornstars.net/simona_sun/,41,0,1,0,1,135,0,net,0.0,0
http://www.susi33.de/,21,0,1,1,0,144,1,de,0.0,0
http://pattayacity.com/pattaya/classicboys.html,47,0,0,0,0,185,1,com,0.0,0
http://www.art-photo-salmon.com/,32,0,1,0,1,271,1,com,0.0,0
http://www.geocities.com/~ridem74/,34,0,105,104,1,11731,1,com,0.16871350113153397,0
http://www.whoneedsviagra.org/heather_graham/gallery1.htm,57,0,5,5,0,1211,0,org,-5.551115123125783e-18,0
http://www.y-paris.com/,23,0,0,0,0,0,1,com,0.0,0
http://www.msgenevieve.com/,27,0,199,0,199,3641,1,com,0.18286205073995773,0
http://www.sexy-dreams.com/avs14/0004/14/cyberage/,50,0,0,0,0,509,1,com,0.1111111111111111,0
http://www.amateursex-free.com/nurse/index.html,47,0,50,0,50,2470,0,com,0.24339488636363635,0
http://internetdump.com/users/penemuel/,39,0,10,0,10,1123,1,com,0.16702380952380955,0
http://www.aurum-escort.com/,28,0,4,4,0,8586,1,com,0.21190476190476196,0
http://www.e-delight.biz/,25,0,1,1,0,166,1,biz,0.0,0
http://www.mpegsmpegs.com/,26,0,1,0,1,3208,1,com,0.5,0
http://journal.schmuddelpage.de/,32,0,0,0,0,81,1,de,0.0,0
http://www.lickorish.com/,25,0,0,0,0,541,1,com,0.375,0
http://www.centralflpartyhouse.com/,35,0,1,1,0,187,1,com,0.0,0
http://hotflashing.com/nude_in_public/,38,0,192,192,0,8412,1,com,0.2083465382996634,0
http://www.ukbustybabes.com/,28,0,0,0,0,3,0,com,0.0,0
http://www.submissivesexslaves.com/free/whippedass/warn.htm,59,0,0,0,0,79,0,com,0.0,0
http://www.squirtingwomen.de/,29,0,0,0,0,42,0,de,0.0,0
http://www.mistress-emmanuelle.com/,35,0,0,0,0,75,0,com,0.0,0
http://www.coco-palm.jp/,24,0,1,0,1,176,1,jp,0.0,0
http://poods.pitas.com/,23,0,128,128,0,9290,1,com,0.10864417989417989,0
http://hotxxx.adultnetservers.com/cock/02/index.htm,51,0,0,0,0,64,1,com,0.0,0
http://www.japanese-school-girls.asian-pornography-pics.com/,60,0,1,0,1,411,1,com,0.225,0
http://www.bdsmvancouver.com/,29,0,0,0,0,57,1,com,0.38409090909090904,0
http://www.brennda.com/index.htm,32,0,1637,0,1637,79977,1,com,0.15381509760451073,0
http://members.tripod.com/~laurenclark/,39,0,16,2,14,853,1,com,0.027333333333333355,0
http://www.1sweetass.com/tightass/,34,0,0,0,0,2400,1,com,0.0,0
http://www.stpauli.net/,23,0,0,0,0,270,0,net,0.0,0
http://www.hentai-sex-and-toons.com,35,0,7,7,0,3273,1,com,0.08479674796747966,0
http://www.angelfire.com/tv2/somethingblue/home.html,52,0,0,0,0,9,1,com,0.0,0
http://openadultdirectory.com/escorts/,38,0,195,171,24,7504,1,com,0.26960059877816894,0
http://www.herby.ru/,20,0,27,1,26,13390,1,ru,0.554375,0
http://www.clit.nude-brunettes.com/,35,0,1,0,1,162,1,com,0.0,0
http://www.custom-jp.net/software/,34,0,0,0,0,79,0,net,0.0,0
http://www.lesbian-porn.net/free-lesbian-porn/lesbian-free-porn/,64,0,0,0,0,10,1,net,0.0,0
http://www.cherryboys.com/allgayhunks/,38,0,55,55,0,5781,1,com,0.24871111111111113,0
http://www.gay-vintage.com/pre/posing/index.html,48,0,1,1,0,145,1,com,0.175,0
http://www.rimba.co.uk/,23,0,0,0,0,148,0,co.uk,0.0,0
http://www.dvdhard.com,22,0,53,53,0,5454,1,com,0.24859903381642512,0
http://caning.wz.cz/,20,0,16,16,0,855,0,cz,0.0,0
http://www.geocities.com/bourbonstreet/bayou/3912/,50,0,103,102,1,11895,1,com,0.16792105547453146,0
http://www.kevscave.com/muscledthreesome/index.html,51,0,0,0,0,0,1,com,0.0,0
http://www.editions-rlo.com/,28,0,347,346,1,11648,1,com,0.45722527472527474,0
http://www.geocities.com/hollywood/mansion/2047/index.html,58,0,103,102,1,11902,1,com,0.16989912566525472,0
http://www.misoji.net/,22,0,6,0,6,749,1,net,0.0,0
http://www.kevscave.com/eastboys06/,35,0,0,0,0,0,1,com,0.0,0
http://www.hatuncenneti.com/,28,0,1,0,1,1423,0,com,0.2590909090909091,0
http://www.filthyteens.com/gold/indian_fetishes/,48,0,0,0,0,99,0,com,0.0,0
http://www.xtrasex.com/o/ramb/index.htm,39,0,7,0,7,1645,1,com,-0.08518518518518518,0
http://www.hkbdsm.com/shop,26,0,0,0,0,188,0,com,0.0,0
http://zpravy.adult.cz/,23,0,28,0,28,2518,1,cz,0.0,0
http://www.boundshop.de/,24,0,0,0,0,9,1,de,0.0,0
http://www.geohost.net/adm/punishment_palace/,45,0,4,0,4,1178,1,net,0.11212121212121212,0
http://www.sexylegs.ch/,23,0,2,2,0,997,1,ch,0.3955555555555555,0
http://www.bondage-links.com/,29,0,0,0,0,0,1,com,0.0,0
http://www.pornbutler.com/xxx_sex/black_lightskin/index.htm,59,0,53,53,0,5462,1,com,0.23724747474747482,0
http://www.bostonpump.com,25,0,0,0,0,162,0,com,0.5,0
http://www.privat4u.de,22,0,43,43,0,3407,1,de,0.16666666666666666,0
http://www.themistresses.com,28,0,4,4,0,3927,1,com,0.14743030303030305,0
http://www.fetish-bizarre.biz/strapon-extreme/,46,0,420,287,133,164418,1,biz,0.3617893217893218,0
http://www.escort-romania.ro/,29,0,66,66,0,5041,1,ro,0.1978625541125541,0
http://www.jbvideo.com,22,0,10,4,6,41150,1,com,0.0421723300970874,0
http://www.livetreff.tv/,24,0,57,0,57,4981,1,tv,0.0,0
http://www.rossoscarlatto.net/,30,0,21,20,1,5264,1,net,0.0,0
http://www.tgpfriendly2.com/members/kira/,41,0,0,0,0,52,1,com,0.0,0
http://www.gayboysex.net/euro_hustler/index.html,48,0,23,22,1,24958,0,net,0.13986860463882525,0
http://www.cherryboys.net/justinyoung_milk/,43,0,0,0,0,76,0,net,0.0,0
http://www.sandra-deluxe.de/,28,0,1,0,1,169,1,de,0.0,0
http://www.geocities.com/courier1998/,37,0,105,104,1,11637,1,com,0.16688957138957142,0
http://www.ehimegay.com/,24,0,2,0,2,426,1,com,0.4166666666666667,0
http://www.ladycilia.de/,24,0,119,117,2,29622,1,de,0.0675,0
http://www.teenagedreamz.com/avs/fip/,37,0,0,0,0,89,0,com,0.0,0
http://www.geocities.com/nataliepaav/index1.html,48,0,105,104,1,11664,1,com,0.16976259851259853,0
http://www.geocities.com/nthropologie/,38,0,103,102,1,11903,1,com,0.16989912566525472,0
http://supersexymodel.com/,26,0,0,0,0,0,1,com,0.0,0
http://fetish-sm.over-blog.com/,31,0,189,0,189,13883,1,com,-0.10506510416666663,0
http://www.bunsandboobs.com/now/index.html,42,0,0,0,0,46,0,com,0.0,0
http://www.adultcontactsdirect.com/,35,0,107,107,0,15892,1,com,0.19255104617604632,0
http://www.xponsor.com/,23,0,0,0,0,1183,1,com,0.2122159090909091,0
http://www.she-malex.com/pc/,28,0,2,2,0,219,1,com,0.0,0
http://smaq.com/,16,0,1,1,0,438,0,com,-0.03333333333333333,0
http://www.sexy-dreams.com/avs10/02/agecheck/index.html,55,0,0,0,0,509,1,com,0.1111111111111111,0
http://www.vultureslair.com/,28,0,105,104,1,11697,1,com,0.1718294892085215,0
http://www.ladyclaudia.de/,26,0,1,0,1,166,1,de,0.0,0
http://mandate.com.au,21,0,21,20,1,2041,1,com.au,0.3620323129251701,0
http://www.angelfire.com/mb/wsjournal/index.html,48,0,3,2,1,323,1,com,-0.03125,0
http://www.larasharem.com/euroteen/nastyspanishteen/,52,0,0,0,0,39,1,com,0.0,0
http://www.anythingforlove.org/,31,0,1,1,0,145,1,org,0.175,0
http://www.coachron.com/,24,0,0,0,0,103,1,com,0.5,0
http://www.erotischemalerei.com/,32,0,1,0,1,236,1,com,0.25,0
http://www.adultdvdmarketplace.com/,35,0,1,0,1,2633,1,com,0.1355381053055472,0
http://www.dailysexpix.com/x/f2/f/ca1.htm,41,0,1,1,0,237,1,com,0.0,0
http://www.angelfire.com/nc3/lfc/,33,0,9,2,7,1977,1,com,0.16811760461760458,0
http://www.pokergirls.com/,26,0,39,38,1,2160,1,com,0.08250466853408031,0
http://www.blackgirls.exoticblacks.com/index.html,49,0,1,0,1,392,1,com,0.17083333333333334,0
http://gloria-brame.com/glory/erotalk.htm,41,0,0,0,0,55888,1,com,0.14016032303035908,0
http://www.enkaikizoku.com/,27,0,56,56,0,5481,1,com,0.0,0
http://zwaik.tripod.com/,24,0,3,0,3,2053,1,com,-0.07675438596491228,0
http://www.sheridantaylor.com/,30,0,0,0,0,362,1,com,0.2,0
http://husbandserveswife.blogspot.com/,38,0,55,23,32,20119,1,blogspot.com,0.10394529523142235,0
http://www.latigredipadova.com,30,0,32,32,0,9014,1,com,0.24375000000000002,0
http://www.sirrodney.com/,25,0,0,0,0,352,1,com,0.2,0
http://www.villa-ascona.de/,27,0,0,0,0,42,0,de,0.0,0
http://www.videoerotica.net/biggirls/,37,0,0,0,0,141,0,net,0.46388888888888896,0
http://www.pornstar-gallery.net/jameson/,40,0,0,0,0,188,0,net,0.0,0
http://www.smack.co.uk/,23,0,1,1,0,605,0,co.uk,-0.125,0
http://www.boutiquegay.com/,27,0,55,55,0,5697,1,com,0.24432432432432435,0
http://www.cherryboys.net/gangboy/,34,0,0,0,0,76,0,net,0.0,0
http://www.angelfire.com/ny/cicproductions/libg.html,52,0,10,3,7,1921,1,com,0.13026315789473686,0
http://www.geocities.com/bangbongz/,35,0,103,102,1,11909,1,com,0.16809930859396105,0
http://tnasupermarket.com/nv/sexytransexuals/,45,0,0,0,0,1458,1,com,0.0,0
http://www.eros-houston.com/,28,0,1,1,0,406,0,com,0.4,0
http://www.xtrasex.com/pornstar/three/a.htm,43,0,7,0,7,1728,1,com,0.04597107438016528,0
http://thebunker.my100megs.com/femceleb.html,44,0,0,0,0,91,0,com,0.0,0
http://shop.strato.com/epages/62027650.sf,41,0,0,0,0,242,0,com,0.0,0
http://www.geocities.com/heathergraham3/,40,0,103,102,1,11904,1,com,0.16989912566525472,0
http://www.fr69.com,19,0,0,0,0,42,0,com,0.0,0
http://www.jessica.sexykat.co.uk/,33,0,0,0,0,10,1,co.uk,0.0,0
http://www.bsi-fuer-buerger.de/,31,0,7,7,0,9470,1,de,0.13365800865800867,0
http://photosx.netpass.tv,25,0,19,0,19,2115,1,tv,-0.2916666666666667,0
http://www.fetish-picture.com/karenmovie/,41,0,18,0,18,1008,1,com,-0.003056426332288378,0
http://nymphe-decouverte.over-blog.com/,39,0,54,25,29,5177,1,com,0.35724101479915443,0
http://www.jovencitas69.com,27,0,1,0,1,169,1,com,0.0,0
http://members.tripod.com/almaith/,34,0,2,0,2,340,1,com,0.5833333333333334,0
http://www.loversparadise.de/,29,0,1,1,0,180,1,de,0.0,0
http://www.totallychristy.com/,30,0,53,53,0,5458,1,com,0.22335784313725496,0
http://www.sweetlips.nl,23,0,28,28,0,6810,1,nl,0.24,0
http://www.virgula.com.br/virgulagirl/,38,0,40,40,0,721,0,com.br,0.0,0
http://www.galge.com/,21,0,15,14,1,10732,1,com,-0.033333333333333354,0
http://www.kingscourt.com.au/,29,0,0,0,0,90,0,com.au,0.0,0
http://www.cool-free-porn.com/mature8/index.html,48,0,69,0,69,6389,1,com,0.13420934411500451,0
http://www.realgoodporn.com/sites/babes4you/index.html,54,0,1,1,0,145,1,com,0.175,0
http://www.celebritymassage.com/,32,0,1,0,1,90,1,com,0.0,0
http://shoppingmall.de/xtshop/,30,0,1,1,0,231,1,de,0.03125,0
http://www.sexystring.net,25,0,1,0,1,1141,1,net,0.08333333333333333,0
http://www.nicisterling.com/,28,0,0,0,0,52,1,com,0.0,0
http://idolcollection.h.fc2.com/,32,0,4,0,4,2070,0,com,0.0,0
http://www.femdomunlimited.com/,31,0,2,2,0,231,1,com,0.0,0
http://www.babes247.com/ac/blonde.html,38,0,0,0,0,350,1,com,0.2,0
http://www.central-chambers.co.uk/,34,0,9,8,1,1987,1,co.uk,0.23657407407407408,0
http://www.male-erotica.com/men7/,33,0,0,0,0,309,0,com,0.041666666666666664,0
http://www.lustqual.de/,23,0,1,0,1,159,1,de,0.0,0
http://www.piratemedia.ca/ca/darker_anime/index.html,52,0,0,0,0,1255,0,ca,0.0,0
http://www.aq-palace.com/,25,0,2,0,2,1280,1,com,0.0,0
http://www.anzwers.net/hot/sexydreams/,38,0,0,0,0,42,1,net,0.0,0
http://www.transensexkontakte.com/,34,0,0,0,0,848,1,com,0.0,0
http://www.felixdeon.com/,25,0,0,0,0,7,1,com,0.0,0
http://www.spicegirlslondonescorts.com/,39,0,0,0,0,153,0,com,0.0,0
http://www.thexxxarchive.com/a/bigdick/index.htm,48,0,6,0,6,1695,1,com,0.03901515151515152,0
http://www.wsexe.com/,21,0,2,1,1,3327,1,com,0.22692307692307695,0
http://dracula-land.sexomultiple.com/cg-amateur/warn/index.html,63,0,0,0,0,101,0,com,0.0,0
http://www.angelfire.com/darkside/ms_sassy/,43,0,2,2,0,591,1,com,0.25,0
http://www.sexystat.com,23,0,6,0,6,686,1,com,0.25,0
http://www.bizarre-sex.ws/,26,0,1,1,0,168,1,ws,0.0,0
http://www.detailstoys.com/,27,0,0,0,0,38,0,com,0.0,0
http://www.desirenet.co.uk/,27,0,8,8,0,6187,1,co.uk,0.20338434505569336,0
http://www.dunedin-direct.co.nz/ddc/listingspersonal.htm,56,0,1,0,1,281,0,co.nz,0.4,0
http://misspelisse.canalblog.com/,33,0,106,15,91,7604,1,com,0.4625,0
http://www.anotheradultboard.com/,33,0,6,1,5,843,1,com,0.35375,0
http://www.jewelmovies.com,26,0,6,6,0,356,1,com,0.6375000000000001,0
http://getfreexxx.com/,22,0,0,0,0,1,1,com,0.0,0
http://groups.yahoo.com/group/rpslash/,38,0,105,104,1,11650,1,com,0.17071714411878347,0
http://www.kokainfabrik.de,26,0,0,0,0,0,1,de,0.0,0
http://lessons-learned-otk.domestic-spanking.com/,49,0,0,0,0,7,1,com,0.0,0
http://www.swingerclub-feelings.de/,35,0,0,0,0,2078,1,de,-0.19047619047619047,0
http://www.sweet18teen.com/insertthis/ca/,41,0,1,0,1,168,1,com,0.0,0
http://www.rooie-oortjes.nl/,28,0,11,11,0,1477,1,nl,0.1308712121212121,0
http://sexy_bike.tripod.com/,28,0,8,0,8,578,0,com,0.8125,0
http://www.sesso-gratis.info,28,0,0,0,0,54,1,info,0.0,0
http://www.castlewaterloo.com/,30,0,2,1,1,157,1,com,0.0,0
http://www.paulcleather.com/,28,0,0,0,0,162,0,com,0.5,0
http://www.chicksites.com/pics/malay/3/,39,0,80,1,79,1220,1,com,-0.2775,0
http://www.planet-pussy.com/,28,0,3,0,3,216,1,com,0.17662337662337665,0
http://www.mellyloon.com/,25,0,3,0,3,409,1,com,0.75,0
http://www.citybutterflies.com/,31,0,84,84,0,6704,1,com,0.371905679066696,0
http://www.katja-minx.com/,26,0,8,2,6,2835,1,com,0.218577936224995,0
http://www.anzwers.net/hot/sexyncontri/,39,0,0,0,0,42,1,net,0.0,0
http://www.xtrasex.com/a/outside/index.htm,42,0,7,0,7,1578,1,com,0.13702380952380952,0
http://www.filmz.nl,19,0,1,1,0,825,0,nl,-0.13714285714285715,0
http://www.ilovecum.com/,24,0,1,1,0,145,1,com,0.175,0
http://www.sexo-gratis.anal-hardcore-sex-pics.com/,50,0,2,0,2,225,1,com,0.4666666666666666,0
http://www.analdreamhouse.com/39/01/agecheck/index.html,55,0,107,87,20,11079,1,com,0.11383680965499149,0
http://www.xxx-ratedsex.com/index.html,38,0,1,0,1,727,1,com,0.05769230769230767,0
http://www.itsmagic-trier.de/,29,0,2,0,2,1583,1,de,0.0,0
http://www.sexpo.com.au/,24,0,139,133,6,6080,1,com.au,0.2064318340972753,0
http://www.a24-7pornsite.com/fisting_frenzy/,44,0,20,0,20,1904,1,com,0.16068840579710142,0
http://www.russianangels.com/,29,0,0,0,0,42,0,com,0.0,0
http://www.explicitzone.com,27,0,1,1,0,145,1,com,0.175,0
http://www.curiosavideo.com/,28,0,77,77,0,11211,1,com,0.10259724106739036,0
http://www.beepworld.de/members23/edu666/,41,0,3,3,0,239,0,de,0.0,0
http://www.slutlounge.com/,26,0,0,0,0,283,1,com,0.3333333333333333,0
http://www.model-f.com/,23,0,0,0,0,10,1,com,0.0,0
http://dvdsource.deluxepass.com/,32,0,65,65,0,2740,1,com,0.2518025330525331,0
http://www.floyd-agency.com,27,0,0,0,0,0,1,com,0.0,0
http://groups.yahoo.com/group/coco_channel/,43,0,105,104,1,11697,1,com,0.17290475802572577,0
http://www.pcrawler.com/,24,0,0,0,0,42,0,com,0.0,0
http://www.tienersexfilms.nl,28,0,0,0,0,1100,1,nl,0.48125,0
http://www.cherryboys.com/armybrat/,35,0,55,55,0,5781,1,com,0.24871111111111113,0
http://www.forthegirls.com/s04/s01/warning.html,47,0,15,0,15,1154,1,com,0.12745098039215685,0
http://www.haremshop.com/,25,0,1,1,0,145,1,com,0.175,0
http://www.girl-nude.com/blondes/arenalin_power_blondes/index.shtml,67,0,0,0,0,10,1,com,0.0,0
http://www.xxxsex.anal-hardcore-sex-pics.com/,45,0,1,0,1,587,1,com,0.335,0
http://www.czechpornstars.net/simona_sun/,41,0,1,0,1,135,0,net,0.0,0
http://www.susi33.de/,21,0,1,1,0,144,1,de,0.0,0
http://pattayacity.com/pattaya/classicboys.html,47,0,0,0,0,185,1,com,0.0,0
http://www.art-photo-salmon.com/,32,0,1,0,1,271,1,com,0.0,0
http://www.geocities.com/~ridem74/,34,0,105,104,1,11696,1,com,0.17290475802572577,0
http://www.whoneedsviagra.org/heather_graham/gallery1.htm,57,0,5,5,0,1211,0,org,-5.551115123125783e-18,0
http://www.y-paris.com/,23,0,0,0,0,0,1,com,0.0,0
http://www.msgenevieve.com/,27,0,199,0,199,3641,1,com,0.18286205073995773,0
http://www.sexy-dreams.com/avs14/0004/14/cyberage/,50,0,0,0,0,509,1,com,0.1111111111111111,0
http://www.amateursex-free.com/nurse/index.html,47,0,50,0,50,2472,0,com,0.20633608815426996,0
http://internetdump.com/users/penemuel/,39,0,10,0,10,1123,1,com,0.16702380952380955,0
http://www.aurum-escort.com/,28,0,4,4,0,8586,1,com,0.21190476190476196,0
http://www.e-delight.biz/,25,0,1,1,0,166,1,biz,0.0,0
http://www.mpegsmpegs.com/,26,0,1,0,1,3208,1,com,0.5,0
http://journal.schmuddelpage.de/,32,0,0,0,0,81,1,de,0.0,0
http://www.lickorish.com/,25,0,0,0,0,541,1,com,0.375,0
http://www.centralflpartyhouse.com/,35,0,1,1,0,187,1,com,0.0,0
http://hotflashing.com/nude_in_public/,38,0,192,192,0,8412,1,com,0.2083465382996634,0
http://www.ukbustybabes.com/,28,0,0,0,0,3,0,com,0.0,0
http://www.submissivesexslaves.com/free/whippedass/warn.htm,59,0,0,0,0,79,0,com,0.0,0
http://www.squirtingwomen.de/,29,0,0,0,0,42,0,de,0.0,0
http://www.mistress-emmanuelle.com/,35,0,0,0,0,75,0,com,0.0,0
http://www.coco-palm.jp/,24,0,1,0,1,176,1,jp,0.0,0
http://poods.pitas.com/,23,0,128,128,0,9290,1,com,0.10864417989417989,0
http://hotxxx.adultnetservers.com/cock/02/index.htm,51,0,0,0,0,64,1,com,0.0,0
http://www.japanese-school-girls.asian-pornography-pics.com/,60,0,1,0,1,411,1,com,0.225,0
http://www.bdsmvancouver.com/,29,0,0,0,0,57,1,com,0.38409090909090904,0
http://www.brennda.com/index.htm,32,0,1637,0,1637,79977,1,com,0.15381509760451073,0
http://members.tripod.com/~laurenclark/,39,0,16,2,14,853,1,com,0.027333333333333355,0
http://www.1sweetass.com/tightass/,34,0,0,0,0,2400,1,com,0.0,0
http://www.stpauli.net/,23,0,0,0,0,270,0,net,0.0,0
http://www.hentai-sex-and-toons.com,35,0,7,7,0,3273,1,com,0.08479674796747966,0
http://www.angelfire.com/tv2/somethingblue/home.html,52,0,0,0,0,9,1,com,0.0,0
http://openadultdirectory.com/escorts/,38,0,195,171,24,7504,1,com,0.26960059877816894,0
http://www.herby.ru/,20,0,27,1,26,13390,1,ru,0.554375,0
http://www.clit.nude-brunettes.com/,35,0,1,0,1,162,1,com,0.0,0
http://www.custom-jp.net/software/,34,0,0,0,0,79,0,net,0.0,0
http://www.lesbian-porn.net/free-lesbian-porn/lesbian-free-porn/,64,0,0,0,0,10,1,net,0.0,0
http://www.cherryboys.com/allgayhunks/,38,0,55,55,0,5781,1,com,0.24871111111111113,0
http://www.gay-vintage.com/pre/posing/index.html,48,0,1,1,0,145,1,com,0.175,0
http://www.rimba.co.uk/,23,0,0,0,0,148,0,co.uk,0.0,0
http://www.dvdhard.com,22,0,53,53,0,5454,1,com,0.24859903381642512,0
http://caning.wz.cz/,20,0,16,16,0,855,0,cz,0.0,0
http://www.geocities.com/bourbonstreet/bayou/3912/,50,0,103,102,1,11894,1,com,0.168990574191109,0
